,Player,Year,InjuryFactor,RushEfficiency,RecEfficiency,TotTD,PPR,NextPPR
1386,Darren Waller,2020,28.0,0.0,882.5655172413793,9,278.6,133.5
1387,Darren Waller,2021,18.764705882352942,0.0,393.2795698924731,2,133.5,84.8
1388,Darren Waller,2022,15.882352941176471,0.0,252.65116279069767,3,84.8,113.2
1389,Darren Waller,2023,21.88235294117647,0.0,387.8918918918919,1,113.2,
1424,David Johnson,2013,8.125,0.0,46.666666666666664,0,11.0,1.4
1425,David Johnson,2014,23.625,0.0,0.0,0,1.4,215.8
1427,David Johnson,2015,28.0,2.0,2.0,0,-0.2,407.8
1429,David Johnson,2016,29.0,0.0,50.90909090909091,0,17.0,13.0
1446,David Morgan,2016,17.25,0.0,4.0,0,1.4,25.5
1447,David Morgan,2017,22.5,0.0,79.16666666666667,1,25.5,8.6
1449,David Njoku,2017,21.0,1.0,205.86666666666667,4,94.7,143.9
1450,David Njoku,2018,22.0,0.0,406.6363636363636,4,143.9,15.1
1451,David Njoku,2019,5.75,0.0,20.5,1,15.1,52.3
1452,David Njoku,2020,19.5,0.0,139.55172413793105,2,52.3,107.6
1453,David Njoku,2021,23.529411764705884,1.0,322.64150943396226,4,107.6,142.0
1454,David Njoku,2022,21.41176470588235,-4.0,455.3,4,142.0,201.2
1455,David Njoku,2023,25.41176470588235,0.0,580.829268292683,6,201.2,
1459,David Wells,2021,4.588235294117647,0.0,0.0,0,0.0,1.0
1460,David Wells,2023,8.235294117647058,0.0,-10.0,0,1.0,
1462,Davis Allen,2023,19.41176470588235,0.0,86.36363636363636,1,25.5,
1467,Dawson Knox,2019,21.5625,9.0,217.28,2,79.7,66.8
1468,Dawson Knox,2020,18.0,0.0,157.0909090909091,3,66.8,164.1
1469,Dawson Knox,2021,22.058823529411764,0.0,405.11267605633805,9,164.1,135.7
1470,Dawson Knox,2022,22.941176470588236,0.0,381.7846153846154,6,135.7,54.6
1471,Dawson Knox,2023,19.058823529411764,0.0,113.66666666666667,2,54.6,
1551,Delanie Walker,2013,27.1875,0.0,398.3720930232558,6,153.1,176.0
1552,Delanie Walker,2014,28.125,0.0,528.9622641509434,4,176.0,244.4
1553,Delanie Walker,2015,29.0625,36.0,768.9624060150376,6,244.4,188.1
1554,Delanie Walker,2016,30.0,5.5,509.80392156862746,7,188.1,174.5
1555,Delanie Walker,2017,33.0,-1.0,538.0,4,174.5,9.2
